Date,gme,aal,aapl,amd,aph,bili,clov,dkng,ecor,meta,ino,jd,msft,mvis,cenn,plug,sndl,tlry,tsla,wkhs,zm
2021-05-11 00:00:00-04:00,18738400,37417800,126142800,51008200,2660900,3808300,8188700,29470600,34067,18920100,9645700,10507200,33641600,14959200,2661187,83706100,19966500,28098200,139511700,25223400,4084400
2021-05-12 00:00:00-04:00,10926000,34605300,112172300,42531400,2549700,5540000,7664000,27985800,25513,24645500,9457500,8704100,36684400,9459100,2252273,47491900,19580210,19927800,101470800,10392800,3419800
2021-05-13 00:00:00-04:00,35494000,35238700,105861300,48646800,1992500,9325200,9648800,23688300,26613,18079200,7227300,34600000,29624300,10509900,8470487,38358900,22488540,25921400,132554700,16019900,4608500
2021-05-14 00:00:00-04:00,17174000,39182500,81918000,38355800,1586600,7448600,7968600,28429100,11487,19245700,6159200,19366700,23901100,12578400,4625887,82513500,18902510,22006000,100112700,9934200,4357300
2021-05-17 00:00:00-04:00,29848400,40716100,74244600,40779200,1640800,4564300,38562000,17570400,21580,15401300,5062000,11958000,24970200,10314600,3532107,40244200,18393410,24051200,97171200,11687100,2905600
2021-05-18 00:00:00-04:00,30954800,38662400,63342900,31982500,2203500,3787500,16185700,15122700,28440,14522400,7282400,12594000,20168000,11451600,4521467,59394200,16530880,18873800,110491800,13776300,3311900
2021-05-19 00:00:00-04:00,19303600,34558200,92612000,73966200,2315000,2870400,9210400,17567000,19533,19106200,3952400,15617800,25739800,8291900,3266827,49945900,15049870,15473600,118735200,7678000,1728400
2021-05-20 00:00:00-04:00,9912800,33606500,76857100,49135000,1782400,5084800,9340400,10758500,19233,17320200,4533400,18384500,21800700,5723000,1709867,39090800,17855690,16572200,92463300,9453100,3029400
2021-05-21 00:00:00-04:00,14618800,26246500,79295400,40201100,3645100,3185700,7435600,15176000,14693,13600900,3448800,10657700,21863100,5106100,1994253,37012600,19500680,15448100,78091800,5886400,2057300
2021-05-24 00:00:00-04:00,18657200,26159300,63092900,33194300,1607800,5127700,5711100,30740800,12447,16445400,4468500,8740200,21411500,7548400,2513047,26736700,13325330,15548100,103674300,5781800,1855000
2021-05-25 00:00:00-04:00,59550000,50630500,72009500,47353100,1632100,4075400,5745100,24980800,18320,16437000,3357300,9399000,17704300,14039900,4387220,31182900,20406560,33255500,84017700,5942300,2160100
2021-05-26 00:00:00-04:00,84479600,29812700,56575900,30354000,1483300,5069600,8083000,13963100,14400,9686900,5284200,6598700,17771600,20658000,4871927,27740500,45070130,23650200,85917900,12016200,2374300
2021-05-27 00:00:00-04:00,62105200,36389500,94625600,35883200,2469400,8593200,31641300,11468800,26493,20477700,4298300,9926200,24426200,13821800,5063100,32422400,41973010,28424000,79111800,11335900,3622100
2021-05-28 00:00:00-04:00,47005600,30594400,71311100,40952700,1963200,3643500,13836200,14662800,42080,12037400,5542700,7876400,18270200,28260000,18657987,40289300,62261530,65329400,68211000,14415600,2745700
2021-06-01 00:00:00-04:00,38502400,36502400,67637100,43433000,2049300,5227300,8800200,10616000,23167,11765900,3153300,21292100,23213300,20135700,5315520,23920100,30257640,23584600,54254700,6914300,6607100
2021-06-02 00:00:00-04:00,64076800,57686200,59278900,35203200,2429100,4687800,34883700,13385400,23100,11654300,4907200,9419900,19406700,30271600,30052387,25008300,40450260,47991300,69908400,33901500,6252100
2021-06-03 00:00:00-04:00,32000000,38254900,76229200,29812000,2173000,3504200,48726800,8251300,16880,12610800,5661500,12027700,25307700,12714800,27691067,29621100,89364670,84607700,90335700,156013200,3107300
2021-06-04 00:00:00-04:00,14550000,28977300,75169300,26387800,1702400,2446300,16049900,6462300,34340,13289400,3145500,8264600,25281100,50263500,14804260,26662200,37546640,35885800,72110700,44063900,5604900
2021-06-07 00:00:00-04:00,24206000,21173200,71057600,29006800,1680500,2439200,125343900,14583900,33740,20136700,6628000,8419500,23079200,31235000,12331260,32097800,25902820,34434700,67631100,37886700,4538700
2021-06-08 00:00:00-04:00,69756400,26105600,74403800,26956600,1250800,2754200,735483700,14881700,32053,14580500,6036800,8902700,22455000,18307800,9871013,31396000,17851440,30400300,78160200,72754500,2842700
2021-06-09 00:00:00-04:00,53717200,20289000,56877900,28454600,1687500,1922000,371777100,11349500,13627,13727900,23803800,7421500,17937600,7238900,5175200,17633400,27238530,85875600,49753800,75171600,2721200
2021-06-10 00:00:00-04:00,91920800,28988300,71186400,28606400,1829900,3523800,155520600,8555200,44933,13240200,7663800,9476600,24563600,39214800,5364520,19942500,18843780,33839100,71758800,25260900,2809200
2021-06-11 00:00:00-04:00,62323200,24368000,53522400,24310900,3410000,2712200,142806000,7674700,19940,13587900,3768900,11387100,18999700,8668800,4352900,21806500,8150020,22581700,48615900,23247500,6783400
2021-06-14 00:00:00-04:00,28530400,22613100,96906500,27830200,1653400,3611500,96497900,16388800,18200,12250800,5142900,8032100,19150500,10542500,3694267,18221500,9162140,27324700,61272000,21034900,3444300
2021-06-15 00:00:00-04:00,29207600,19062200,62746300,26194300,1796900,1971200,53251700,88027800,14893,15795200,4008800,8455600,18038900,5700200,3084267,23496600,9316970,28584300,53292300,16119900,2587900
2021-06-16 00:00:00-04:00,22259200,20296900,91815000,29598300,2690500,2765600,40173200,29916400,13213,17232200,3350500,12306500,27220000,5607100,3238613,23531600,16226070,22690500,66432300,38396500,2669200
2021-06-17 00:00:00-04:00,18434400,32879100,96721700,77822800,2812300,2539300,30706000,13294600,11580,17794100,4076800,12894000,27565500,4729500,2791693,18802200,9243970,20519700,68104200,15747300,3416600
2021-06-18 00:00:00-04:00,17281200,28009900,108953300,58736800,4415600,10606000,34165300,12194700,15193,23039500,5598300,27666500,37202200,8864200,2853800,21267200,12116870,19100300,73682700,23168600,4569100
2021-06-21 00:00:00-04:00,20480800,26666200,79663300,44417100,2344800,3092100,32480200,8770600,11460,11337500,3168300,8410100,26696100,8757600,3361900,21975800,13476790,21618900,74438100,10184400,1896900
2021-06-22 00:00:00-04:00,32800800,22745000,74783600,32107700,3079300,4685200,154157500,8543200,14720,15345300,3039000,10250400,24694100,15248200,2353507,68454300,8817210,13103900,57476700,11302200,1999000
2021-06-23 00:00:00-04:00,14220400,17394700,60214200,25992400,2312300,2868100,152247800,11443400,33753,14817800,3744000,7976600,19518700,6462100,3250700,48244300,23332840,15644500,93297600,25115900,2358900
2021-06-24 00:00:00-04:00,15453200,22667500,68711000,42217700,1761900,4589300,101689000,11042100,38793,12329100,3469700,9800100,21446900,9546800,1836293,33547600,11023990,20425500,137947200,14798400,2438900
2021-06-25 00:00:00-04:00,50770800,18738600,70783700,27804500,3604000,7137000,50810200,30374500,31860,14594400,14304600,16604500,25611100,25551600,3856947,73059000,10933510,14548100,97490100,13733800,3647200
2021-06-28 00:00:00-04:00,19517600,48437800,62111300,30262000,2059700,2693800,36178100,9044000,112640,29156100,6525700,8379000,19590000,7166900,2402353,31831200,10972560,20750500,64884600,46991700,3459900
2021-06-29 00:00:00-04:00,9920000,29157400,64556100,46181000,2157300,2772200,73090600,7729100,179007,21417300,4147800,11876400,19937800,5257500,2278220,38055500,10870770,20315400,52143900,29084600,2582700
2021-06-30 00:00:00-04:00,10158400,26231800,63261400,70721500,2735500,1667600,34028200,7633300,832113,15107500,3576400,11264000,21656500,10909400,1485060,27604700,8560390,25452600,56774700,13255100,2249400
2021-07-01 00:00:00-04:00,10968400,22082700,52485800,58059000,2388200,2752500,24126400,8484300,112707,17137000,3323200,11108600,16725300,7439000,1896773,18526500,10155030,16278000,55903500,12942100,1468000
2021-07-02 00:00:00-04:00,10396400,20814100,78852600,51316700,3063800,2159000,30831600,6020300,112707,11521300,3603600,8013700,26458000,4836300,2859360,13236400,8554060,13154500,81163500,19450600,2065000
2021-07-06 00:00:00-04:00,11072400,24176500,108181800,44930100,2321700,5952800,76125000,5945100,116827,13488500,2981300,15591300,31565600,4726300,1998187,18586000,6498220,12756900,69853500,8607600,3436200
2021-07-07 00:00:00-04:00,16958000,30857000,104911600,51498500,1907000,4712500,35594800,10149800,219160,14218900,4950100,10459500,23260000,5287800,2425427,24069900,16486960,19486700,56376000,13603100,2026600
2021-07-08 00:00:00-04:00,11430000,28539300,105575500,45673500,1982600,5982900,30389500,7353300,205200,14406500,5533800,11918800,24618600,5421400,1547173,22584700,10100680,12901900,68319900,13275100,2748900
2021-07-09 00:00:00-04:00,6331600,21730900,99890800,35278400,2355300,8201000,28691800,10061800,120207,13018700,2346000,11205400,23916700,4027800,1598040,17545100,9393800,11851200,54421500,7955800,1918200
2021-07-12 00:00:00-04:00,6545200,20782200,76299700,28526600,2944000,2363800,49812000,5037000,117847,10018600,2025400,5664100,18931700,4115300,1498480,19078200,7373760,11637400,77781000,7667800,1902500
2021-07-13 00:00:00-04:00,9591600,30951500,100827100,30367600,2800200,4022500,39649500,6463100,82233,11456000,2123500,15412800,26120100,3513800,1523047,16746200,10263270,26745900,62898300,11620400,1757400
